time,power
9030,316.908
9031,316.908
9032,316.908
9033,105.072
9034,105.072
9035,105.072
9036,105.072
9037,105.072
9038,105.072
9039,105.072
9040,105.072
9041,282.421
9042,248.281
9043,235.721
9044,231.1
9045,229.401
9046,228.775
9047,228.545
9048,228.461
9049,228.429
9050,228.418
9051,228.414
9052,228.412
9053,228.412
9054,228.411
9055,228.411
9056,228.411
9057,105.072
9058,105.072
9059,105.072
9060,105.072
9061,105.072
9062,105.072
9063,105.072
9064,105.072
9065,105.072
9066,105.072
9067,105.072
9068,105.072
9069,105.072
9070,105.072
9071,105.072
9072,105.072
9073,105.072
9074,105.072
9075,105.072
9076,105.072
9077,105.072
9078,105.072
9079,105.072
9080,105.072
9081,105.072
9082,105.072
9083,105.072
9084,105.072
9085,105.072
9086,105.072
9087,105.072
9088,247.158
9089,233.556
9090,228.553
9091,226.712
9092,226.035
9093,225.785
9094,225.694
9095,225.66
9096,225.648
9097,225.643
9098,225.641
9099,225.641
9100,225.641
9101,225.64
9102,105.072
9103,105.072
9104,105.072
9105,105.072
9106,105.072
9107,357.447
9108,330.324
9109,320.346
9110,316.675
9111,315.324
9112,314.828
9113,314.645
9114,314.578
9115,314.553
9116,314.544
9117,314.54
9118,314.539
9119,314.539
9120,314.539
9121,314.538
9122,399.123
9123,399.123
9124,399.123
9125,399.123
9126,399.123
9127,399.123
9128,399.123
9129,399.123
9130,399.123
9131,399.123
9132,399.123
9133,399.123
9134,399.123
9135,540.215
9136,526.642
9137,312.182
9138,310.346
9139,309.67
9140,309.421
9141,309.33
9142,309.296
9143,309.284
9144,309.279
9145,309.277
9146,309.277
9147,309.277
9148,309.277
9149,309.277
9150,309.277
9151,309.277
9152,309.277
9153,189.657
9154,189.657
9155,189.657
9156,105.072
9157,105.072
9158,105.072
9159,105.072
9160,105.072
9161,105.072
9162,105.072
9163,105.072
9164,105.072
9165,105.072
9166,105.072
9167,105.072
9168,105.072
9169,105.072
9170,105.072
9171,105.072
9172,105.072
9173,105.072
9174,105.072
9175,105.072
9176,105.072
9177,105.072
9178,105.072
9179,105.072
9180,105.072
9181,105.072
9182,105.072
9183,105.072
9184,105.072
9185,105.072
9186,105.072
9187,105.072
9188,105.072
9189,105.072
9190,105.072
9191,105.072
9192,1291.762
9193,1466.929
9194,1432.67
9195,1420.066
9196,1415.43
9197,227.034
9198,226.407
9199,226.176
9200,226.091
9201,226.06
9202,226.048
9203,226.044
9204,226.042
9205,226.042
9206,226.042
9207,226.042
9208,226.042
9209,105.072
9210,105.072
9211,105.072
9212,105.072
9213,105.072
9214,105.072
9215,105.072
9216,496.756
9217,380.594
9218,337.86
9219,322.139
9220,316.356
9221,314.228
9222,313.446
9223,313.158
9224,426.899
9225,426.86
9226,426.846
9227,426.84
9228,426.838
9229,474.942
9230,474.941
9231,474.941
9232,474.941
9233,474.941
9234,474.941
9235,474.941
9236,474.941
9237,474.941
9238,474.941
9239,474.941
9240,474.941
9241,474.941
9242,474.941
9243,474.941
9244,474.941
9245,267.023
9246,401.062
9247,392.526
9248,389.387
9249,388.231
9250,387.807
9251,387.65
9252,387.593
9253,387.572
9254,387.564
9255,517.982
9256,517.981
9257,517.98
9258,404.133
9259,404.133
9260,283.597
9261,283.597
9262,283.597
9263,283.597
9264,283.597
9265,283.597
9266,283.597
9267,283.597
9268,283.597
9269,283.597
9270,283.597
9271,283.597
9272,235.493
9273,2027.623
9274,2027.623
9275,2027.623
9276,2027.623
9277,2027.623
9278,2027.623
9279,235.493
9280,235.493
9281,235.493
9282,235.493
9283,235.493
9284,235.493
9285,235.493
9286,235.493
9287,105.072
9288,105.072
9289,105.072
9290,105.072
9291,105.072
9292,105.072
9293,340.288
9294,266.316
9295,239.103
9296,229.092
9297,225.409
9298,224.055
9299,223.556
9300,223.373
9301,223.305
9302,223.281
9303,223.271
9304,223.268
9305,223.267
9306,105.072
9307,105.072
9308,1285.362
9309,1285.362
9310,1285.362
9311,1285.362
9312,1285.362
9313,1285.362
9314,1285.362
9315,1285.362
9316,1285.362
9317,1285.362
9318,1285.362
9319,1285.362
9320,1285.362
9321,1285.362
9322,1547.958
9323,1514.546
9324,1502.255
9325,1497.733
9326,1496.07
9327,1495.458
9328,314.943
9329,314.86
9330,314.829
9331,314.818
9332,314.814
9333,314.813
9334,530.997
9335,471.196
9336,437.4958
9337,429.4018
9338,426.4248
9339,425.3298
9340,424.9268
9341,424.7788
9342,424.7238
9343,424.7038
9344,424.6968
9345,424.6938
9346,424.6928
